species,wing_length,secondary,mass
Cypsiurus balasiensis,114.7,36.3,9.1
Cypsiurus gracilis,124,38,13.6
Cypsiurus parvus,136,34.9,13.6
Hirundapus caudacutus,206,57.2,95.5
Hirundapus celebensis,213.7,62,180
Hirundapus cochinchinensis,183.2,58,83.8
Hirundapus giganteus,203.1,73.1,127
Hydrochous gigas,146,44.7,35.8
Mearnsia novaeguineae,130,40,32.6
Mearnsia picina,161.5,46,42.5
Neafrapus boehmi,119.8,42.5,14.4
Neafrapus cassini,156,45.2,40
Panyptila cayennensis,118.8,37.3,21.1
Panyptila sanctihieronymi,184.2,50.5,48.1
Rhaphidura leucopygialis,116.2,38.5,13.6
Rhaphidura sabini,123.4,41,16
Schoutedenapus myoptilus,129.7,41.2,23.5
Streptoprocne biscutata,192.2,67.1,95.8
Streptoprocne phelpsi,125,32.8,21.8
Streptoprocne rutila,130,38.1,20.2
Streptoprocne semicollaris,222,67.8,175
Streptoprocne zonaris,212.5,73,86.8
Tachornis furcata,89,56.9,6.5
Tachornis phoenicobia,101.8,28.5,10.2
Tachornis squamata,103.7,34.7,11
Telacanthura melanopygia,162,51,52
Telacanthura ussheri,145.6,41.8,32.6
Zoonavena grandidieri,124.5,39,8
Zoonavena sylvatica,110.6,34.2,16
Zoonavena thomensis,109.5,35.2,8
Antrostomus arizonae,159.3,82.4,53.3
Antrostomus badius,163,89,59.8
Antrostomus carolinensis,207.7,100.1,109
Antrostomus cubanensis,174.4,93.2,63.5
Antrostomus noctitherus,132.5,75.3,36.1
Antrostomus ridgwayi,150.2,79.8,48
Antrostomus rufus,169,91.2,94.2
Antrostomus salvini,169,93.6,56
Antrostomus saturatus,144.5,75.6,52
Antrostomus sericocaudatus,160.7,81,83
Antrostomus vociferus,154.4,84.4,53.3
Caprimulgus aegyptius,200.8,99.2,77.3
Caprimulgus affinis,159.6,85.2,58.7
Caprimulgus andamanicus,182.2,98.4,66.2
Caprimulgus asiaticus,147.4,79,42
Caprimulgus atripennis,184.2,98.2,61
Caprimulgus batesi,185.5,101.8,100
Caprimulgus binotatus,148.8,79.8,63
Caprimulgus celebensis,187,101.3,57.5
Caprimulgus clarus,147.8,78.7,42.5
Caprimulgus climacurus,143.2,72.8,45.8
Caprimulgus concretus,164,86.4,57.5
Caprimulgus donaldsoni,130.2,73,29
Caprimulgus europaeus,180.5,91.2,67
Caprimulgus eximius,181.8,99.3,66.3
Caprimulgus fossii,155,84.8,58.3
Caprimulgus fraenatus,162,87.4,59.7
Caprimulgus indicus,181.8,92,91.6
Caprimulgus inornatus,153.2,78.4,50.3
Caprimulgus jotaka,203.4,98.8,91.6
Caprimulgus longipennis,173.2,88.8,48
Caprimulgus macrurus,179.2,94.7,66.2
Caprimulgus madagascariensis,152,77.5,41.1
Caprimulgus mahrattensis,169.4,90.5,57
Caprimulgus manillensis,170.2,88.2,70.3
